Date,Item_ID,Item_Type,Item_Name,Current_Stock,Min_Required,Avg_Usage_Per_Day,Restock_Lead_Time
1/16/2026,109,Equipment,Ventilator,3055,741,8,28
1/17/2026,101,Consumable,X-ray Machine,2352,584,12,26
1/18/2026,103,Consumable,Gloves,3122,67,192,18
1/19/2026,102,Equipment,X-ray Machine,3907,303,203,5
1/20/2026,104,Equipment,X-ray Machine,2511,951,442,5
1/21/2026,109,Consumable,X-ray Machine,1677,415,315,3
1/22/2026,107,Consumable,Gloves,1060,117,39,26
1/23/2026,104,Equipment,Gloves,1302,514,170,12
1/24/2026,109,Consumable,Gloves,1261,847,471,11
1/25/2026,104,Consumable,IV Drip,4209,827,449,3
1/26/2026,101,Consumable,IV Drip,1687,35,35,12
1/27/2026,102,Equipment,IV Drip,1793,278,210,13
1/28/2026,107,Equipment,IV Drip,2995,574,427,21
1/29/2026,102,Equipment,Surgical Mask,3099,848,437,10
1/30/2026,103,Consumable,Surgical Mask,1823,953,71,27
1/31/2026,109,Equipment,Surgical Mask,1310,775,132,4
2/1/2026,107,Equipment,Ventilator,2023,83,425,20
2/2/2026,106,Consumable,Surgical Mask,2724,916,380,7
2/3/2026,106,Consumable,Ventilator,3297,594,92,28
2/4/2026,102,Equipment,X-ray Machine,1780,484,461,11
2/5/2026,103,Equipment,Surgical Mask,317,154,168,17
2/6/2026,106,Equipment,Gloves,1979,361,214,9
2/7/2026,100,Equipment,IV Drip,2906,872,282,26
2/8/2026,108,Consumable,Ventilator,4072,776,257,6
2/9/2026,100,Equipment,X-ray Machine,997,239,108,16
2/10/2026,107,Equipment,Surgical Mask,4193,304,419,27
2/11/2026,106,Consumable,IV Drip,822,186,382,6
2/12/2026,105,Consumable,Gloves,3619,710,450,19
